video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7561663960974380305,2025-10-16T03:58:49,24,PE,1905,1524,75,107600,"☀️✨ ¡Nuevo lanzamiento Natura Solar! 🌿 Protege tu piel de forma práctica y natural con el nuevo Protector Solar en Barra FPS 50. Su textura ligera se desliza fácilmente, no deja residuos blancos y es perfecto para aplicar y reaplicar donde quieras. 💛 🌎 Fórmula vegana 💚 Protección alta y efectiva 👜 Ideal para llevar siempre contigo Porque cuidar tu piel también es amarte cada día. 💕 #NaturaSolar #ProtecciónNatural #FPS50 #CuidarteEsAmarte #BellezaConPropósito",False,Protector Solar en barra,yeyenatura_,Yeye 🐦‍🔥🧸🧃| Natura,1200,1017,7847,81,1698,False,,,
7589459251165138192,2025-12-30T01:40:01,25,AR,294,152,0,12100,"☀️ El sol acompaña, la protección también El protector solar en barra Natura es ese básico que no falla. Práctico, cómodo y siempre a mano. ✔️ Aplicación rápida ✔️ Ideal para rostro y zonas sensibles ✔️ No deja sensación pesada Un hábito simple que hace la diferencia todos los días. #NaturaSolar #protectorenbarra #CuidadoDeLaPiel #naturapinamar #protectornatura ",True,FPS 50;Brenda Arana Consultora Pinamar;Protector Solar en Barra,brendaarananatura,Brenda Arana Consultora Natura,5338,483,59900,174,5245,False,Pinamar Partido,"Buenos Aires, Argentina",
7571836366363905288,2025-11-12T13:52:18,17,AR,350,228,5,22500,✨NUEVO✨👉🏻Protector Solar EN BARRA ✅Toque seco ✅Textura aterciopelada ✅Sin aroma ✅Fácil de aplicar ✅FPS 50 ✅ Protección UVB y UVA ✅Para todo tipo de piel ✅Vegano ✅Cruelty Free #Natura #Verano #ProtectorSolar #ProtecciónSolar #Sol @Natura Argentina ,True,,mery.natura,mery.natura,1816,185,16000,68,870,False,,,
7566473995558735122,2025-10-29T03:03:35,261,MX,432,135,22,24900,Nuevo protector solar en barra de Natura!! Protege siempre tu piel con FPS 50 #protectorsolar #skincare #natura #cuidadodelapiel ,False,Protector solar en barra ,araceliapancoo,Ara Apanco,10600,24,159200,380,640,False,,,
