video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7576094437969775890,2025-11-24T01:15:51,31,PE,111,136,5,10100,"Lanzamiento de Campaña 13 ✨ XISS ACTIVE, aroma floral frutal  #xissactive #lanzamiento #campaña13 #yanbalperu #emprendimiento ",False,"      XISS ACTIVE 
LANZAMIENTO C13",jhoselinlazo.yanbal,Jhoselin Lazo,2801,188,17600,435,3038,False,,,
7578651814392827144,2025-11-30T22:39:53,17,PE,398,311,1,18000,Xiss active 🩷#yanbalperu #consultorayanbal #productosfavoritos #coloniasyanbal ,False,,andreaavendano.q,Andrea Avendaño 🍒,16700,9,572900,1121,1781,False,,,
