video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7535306755031534904,2025-08-06T03:18:48,7,PE,372,418,3,23900,"Crema para manos para piel seca a extra seca 🌿 Nueva presentación, nuevo aroma💚 #cremauñadegato #cremayanbal #yanbaluñadegato #yanbalperu #uñadegatoyanbal #bodyspayanbal #yanbalperu ",False,"Y A N B A L;Crema para manos para
 piel seca a extra seca ",maritza_yanbal1,Maritza yanbal,2466,37,165800,381,2768,False,,,
7522184083200314680,2025-07-01T18:36:08,60,PE,202,177,19,20800,MANOS HASTA 2 VECES MAS HIDRATADAS CON EXTRACTO 100%  NATURAL DE UÑA DE GATO .ES UN PRODUCTO VEGANO. RECUERDA USARLO TODOS LOS DIAS Y PUEDES LLEVARLO SIEMPRE CONTIGO!! #noemifranciscoyanbal #emprende #catalogo #YANBAL #mano #uñadegato  #directora #feliz #EMPRENDE ,False,"CREMA PARA MANOS 
UÑA DE GATO ;PODER REPARADOR QUE ACTUA CONTRA DESCAMACIONES ,ASPEREZAS Y OPACIDAD;NIEVA PRESENTACIÓN 
50 GR. PARA LLEVARLA
SIEMPRE CONTIGO ;PELÍCULA PROTECTORA QUE MANTIENE LA HUMEDAD NATURAL DE LA PIEL ;NUEVO AROMA 
MISMA FÓRMULA ;OFERTA LANZAMIENTO 
C-8  19 SOLES ;NUEVA UÑA DE GATO",noemifranciscoflores,NOEMI FRANCISCO,4921,1241,49800,1540,5877,False,,,
