video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7593001596095630610,2026-01-08T14:44:13,22,PE,82,129,2,6933,La protección solar también evoluciona. Redescubre Total Block Ultraprotección 100 SPF. ​☀️ ​ Nueva presentación y nuevas fórmulas con lo último en tecnología y recomendada por dermatólogos. Protección para toda la familia en momentos de alta exposición.​ #yanbalperu🇵🇪 ,False,,leddarosariotoribio,Ledda Toribio,882,677,16500,945,4000,False,,,
7587466796224056594,2025-12-24T16:46:28,46,EC,2903,2063,63,127100,Amamos la nueva presentación de total block 😍 es tan top y llena de fórmulas renovadas #fyp #abcxyz #yanbal #totalblock #protectorsolar ,False,,andreglamyanbal,andreglamyanbal🧡,16800,309,254200,1065,8397,False,,,
7593853619154226453,2026-01-10T21:50:35,20,BO,36,11,2,1945,Disponible📲😍@𝒟𝒶𝓃𝓃𝒾𝓈💘 #yanbal #totalblock #paracuerpoyrostro#consultorasyanbal ,False,Total block ultra protección ;Para cuerpo y rostro,danna.joselin.nez,Danna Yanbal,174,4,4334,33,169,False,,,
