video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7566765551700217100,2025-10-29T21:55:04,14,AR,71,68,1,3567,"🍐 Fresca, suave y natural. La Rutina Tododia Flor de Pera y Melisa hidrata con textura ligera y aroma floral frutal. 🌿 Perfecta para quienes buscan bienestar sin peso en la piel. #TododiaNatura #FlorDePeraYMelisa #HidrataciónNatural #CuidadoSensorial",False,,camiconsultora.burzaco,"Cami, tu consultora. 🇦🇷",2278,994,32300,197,878,False,ZONA SUR,"B1845 José Mármol, Buenos Aires Province, Argentina",Almirante Brown
7566307896535862535,2025-10-28T16:19:04,21,AR,28,16,0,1633,"🍃 Cuidarte puede sentirse tan fresco como esto. Con Tododia Flor de Pera y Melisa, la piel se nutre con probióticos, manteca de cacao y aceite de linaza, adaptándose a lo que necesita cada día. 🌸 Su textura cremosa deja la piel suave, liviana y naturalmente perfumada, con un aroma floral y frutal que equilibra cuerpo y mente. 💚 Ideal para tu ritual de mañana o noche, cuando querés darte un mimo sin complicaciones. ✨ Rico aroma. Hidratación real. Cuidado consciente. #TododiaNatura #FlorDePeraYMelisa #HidrataciónNatural #Burzaco",False,TODO DIA FLOR DE PERA Y MELISA,camiconsultora.burzaco,"Cami, tu consultora. 🇦🇷",2278,994,32300,197,878,False,ZONA SUR,"B1845 José Mármol, Buenos Aires Province, Argentina",Almirante Brown
7491067188128894214,2025-04-08T22:06:43,44,BR,80,35,2,3959,#tododia #flirdeperaemelissa #hidratante #sabonetes @Natura Brasil ,False,flor de pera e melissa ,lucianalarapb,Luciana Lara Pupo Ba,7779,1280,176800,1212,7645,False,,,
