video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7195335740446821637,2023-02-01T23:37:38,16,PE,2740,2495,52,147200,Liberatta @Yanbal 🤍 #andreaavendaño #yanbalperu #perfumesmujer #haul #perfumes #regalos #consultorayanbal #liberatta #musa #andahuaylas #influenceryanbal #yanbal ,False,,andreaavendano.q,Andrea Avendaño 🍒,16700,9,572900,1121,1781,False,,,
7529939922556374328,2025-07-22T16:12:45,13,PE,360,515,11,25500,Por qué este video dura tanto? #liberatta #perfumeyanbal #yanbalperu ,False,"Liberata, un perfume elegante, floral intenso con notas de orquídea blanca, iris y vainilla",lovely.store.2024,Lovely.store.2024,23900,1605,164400,487,11500,False,,,
7570954751400004885,2025-11-10T04:51:14,22,PE,269,125,8,10800,Leberatta el arte hecho perfume♡♡ Pruébalo te encantará ♡♡ #yanbal #perfume #arte #elegancia #pedidos ,False,,isamarurbanoh,ISAMAR URBANO,3480,74,71100,445,3567,False,,,
