video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7558250930504731911,2025-10-06T23:13:59,14,PE,1398,766,21,48500,Colonia L'sencce mimosa radiante 💛 #consultorayanbal #productosfavoritos #coloniasyanbal #yanbalperu ,False,,andreaavendano.q,Andrea Avendaño 🍒,16700,9,572900,1121,1781,False,,,
7561436519001574667,2025-10-15T13:15:38,12,BO,558,641,3,26600,Mimosa radiante! Deja que la primavera viva en ti con un aroma cálido y lleno de vitalidad que te hará sentir tan radiante como la luz del sol. #yanbal #mimosaradiante #colonia ,False,Mimosa Radiante,viancaromeroyanbal,Vianca | Yanbal,6080,44,122000,317,8743,False,,,
7585704833852738824,2025-12-19T22:49:10,23,PE,45,73,0,2558,"🌼 Mimosa Radiante Una colonia suave y luminosa, con notas florales que transmiten frescura, calidez y alegría. Ideal para el día a día, delicada pero inolvidable. ✨ . . . #colonia #lessence #yanbal ",False,"Colonia L'Essence ;Mimosa Radiante ;Colonia L'Essence
Mimosa Radiante 💛",perfumeriaaromasymas,perfumeriaaromasymas,2619,2,50800,532,60,False,,,
7552669669765729554,2025-09-21T22:15:50,26,PE,895,659,15,33400,MI FLOR AMARILLA FAVORITA#21deseptiembre #yanbal #floramarilla #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #💛💛 ,False,"Mi favorito 🤩 ;MIMOSA
RADIANTE ;Nueva
L’Essence;Deja que la primavera 
Viva en ti, con un aroma
Cálido y lleno de vitalidad
!SIENTETE TAN RADIANTE 
COMO LA LUZ DEL SOL!;Disponible 
En campaña 11",mcm_yanbal,MCM🧡YANBAL🧡,1264,44,21200,76,895,False,,,
