video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7602383486812572949,2026-02-02T21:30:49,15,MX,539,461,7,16300,#KerationHairDay ,False,SweetPerfume,sweetperfumecdmx,SweetPerfumeCDMX,258,40,3908,30,120,False,Pedregal de Santa Úrsula,"Mexico City, Mexico",
7604304798703242516,2026-02-08T01:46:32,21,PE,117,42,6,5848,Conociendo y probando Destiné Florence Floral Rosé🌸🪷 #lbel #fragancia #belcorp ,False,Floral Rosé 🌸🪷;Aroma floral 🌸; Con delicados pétalos de Narciso;y notas de pimienta rosa🌹,adrianarequejo24,Adri,436,63,3984,103,1415,False,,,
7532611696083340551,2025-07-29T21:00:35,15,MX,30,46,1,5015,Huele delicioso 🤤  dulcesito y fresco a la vez! ,False,"Destine 
Florence ;Delicados pétalos de narciso, fusionados con refrescantes notas de pimienta ✨",brenda.baez.cano,Brenda Baez cano,72,142,547,74,847,False,,,
