video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7397048364971412742,2024-07-29T13:25:36,9,BO,1091,1618,19,74600,¿Sabías que el néctar para manos de Ekos maracuyá combate los indicadores del estrés cutáneo con una textura ultraliviana para la piel?  #natura  #naturabolivia  #antiestres  #cuidadodelapiel  #relax  #relajacion  #ekos  #ekosnatura  #masajes  #cuidadosdiarios,False,,natura.bo,Natura Bolivia Oficial,51600,107,380100,1009,277,True,,,
7465848545497648390,2025-01-30T23:05:31,21,MX,325,482,2,19800,MARACUYÁ #antiestrés cutaneo ¿Quieres probarlo? ➡️Mándame mensaje están en #promocion  #producto #vegano y #libre de #crueldad #animal  #emprendiendoentiktok #viralvideos #cuidadopersonal #cuidadodelapiel #manos #girls #saludybienestar #saludybelleza ,False,"Néctar para manos 
Maracuyá ",naturaconluu,naturaconluu,1098,58,15200,56,1035,False,Orizaba,"Veracruz de Ignacio de la Llave, Mexico",
7538950049191988485,2025-08-15T22:56:40,17,EC,74,63,4,4025,"🌿💛 Vive la frescura y suavidad de la pulpa corporal de Maracuyá. Hidrata tu piel con textura ligera, rápida absorción y un aroma frutal que relaja y renueva. Perfecta para usar todos los días y sentirte conectada con la naturaleza. 🍃✨ ¿Ya probaste la línea de Maracuyá? 💛 #cuidadodelapiel #manos #ekosnatura #ekosmaracuya #ecuador ",False,,naturaconvanessa,naturaconVanessa,2957,299,19100,284,7102,False,,,
7387107440745123078,2024-07-02T18:29:45,9,MX,36,39,0,4444,Néctar para manos de #ekosmaracuya 💛✨ ¡Amamos!   #naturamexico ,False,,gizcontigo,Giz Martínez,3198,529,32200,135,23400,False,,,
