video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7600971705384766740,2026-01-30T02:12:22,30,EC,151,107,0,3420,"💜✨ Eau Vitale Lavanda de Yanbal ✨💜 Un aroma suave y relajante que te envuelve en calma desde el primer instante 🌿 Ideal para usar todos los días, después del baño o antes de dormir 🛁🌙 Su fragancia de lavanda transmite frescura, tranquilidad y bienestar 💐 Perfecta para mujeres que aman sentirse limpias, ligeras y en paz 💖 ¿Ya la probaste? 😍 Déjame un 💜 en los comentarios #Yanbal #EauVitaleLavanda #FraganciaFresca #Lavanda #PerfumeSuave  ",False,COLONIA EAU VITALE ,nelybernal14,Nely Bernal,185,40,2695,48,324,False,,,
7455685556949798149,2025-01-03T13:47:52,8,BO,643,483,16,35700,Respira emociones.🥰 ¡El poder de la aromaterapia cuando más lo necesitas! Una linea de productos inspirados en el poder de los aromas de plantas milenarias.🧖‍♀️🧖‍♂️🧖#spa #relajacion #bolivia #santacruz #yanbal #lavanda #eauvitale #azul #cuidado ,False,"@fernandazeballos;✨EAU VITALE✨;LAVANDA
Herbal aromático;Promueve sensaciones 
de calma y descanso.",fernandazeballoss,Fernanda Zeballos,675,526,8957,49,177,False,,,
7381239775149296902,2024-06-16T23:00:13,14,PE,4558,3939,64,227500,Colonia Eau Vitale Yanbal✨ El fav de @Natalie Vertiz y @Yacoturco Relaja cuerpo y mente #yanbal #lima #peru #aromaterapia #eauvitale #natalievertiz #yacoturco #consultoraYanbal #yanbalperu #estres #relajante #fyp #uniqueYanbal #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii ,False,EAU VITALE;Aromaterapia Yanbal;Eau Vitale Yanbal,ofertas.unique.yanbal,Ofertas.unique.yanbal,12600,239,173600,85,12000,False,,,
7473692193723567415,2025-02-21T02:22:50,28,CO,179,151,2,8488,"Eau vitale Lavanda para relajarnos, aromaterapia de yanbal #relax #fragancias #yanbal @Yanbal ",True,,luisagtiendavirtual,Yanbal Luisa G Belleza,3375,153,63000,330,177,False,,,
