video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7572005936903113992,2025-11-12T19:50:23,29,PE,1057,730,25,51400,"La BB Cream que estabas buscando ✨ Si amas una piel ligera, uniforme y sin brillo, esta de @Yanbal lo tiene todo: hidrata, protege con SPF 30 y deja un acabado natural que se ve realmente lindo 🫶🏻 Perfecta para piel mixta o grasa 💕 La encuentras en Catta 🌸  #yanbalperu #bbcream #beautytips #pielbonita #makeupperu ",False,,catta.oficial,Catta,18700,99,348900,814,1842,False,,,
7552727546748603659,2025-09-21T21:00:25,68,CO,178,78,22,11200,"🧡BB Cream Hidratante Matificante con Color Claro Piel perfecta, hidratada , protegida y libre de brillo.  #bbcream #yanbal #skincare #pielcuidada #maquillajenocomedogenico @Yanbal @arunanatural ",False,"Maquillaje no 
Comedogenico",mariaguerrero631,Magu/ manchas y acné,5086,529,170300,148,4175,False,,,
7524874369366117638,2025-07-08T19:35:51,22,PE,1917,1728,41,93100,"Bb cream de Yanbal, encuentra tu favorita según tu tipo de piel. 😊🧡 #productosfavoritos #makeup #haul #loquepedi #andreaavendaño #perú #yanbalperu #bbcream #consultorayanbal #directorayanbalperu ",False,,andreaavendano.q,Andrea Avendaño 🍒,16300,11,544100,1086,1620,False,,,
7574590541212470548,2025-11-19T18:59:58,22,EC,409,252,15,22100,BB Cream hidratante matificante de Yanbal 💚 #Crema  #Yanbal #Mate #Hidratante #Maquillaje ,False,"Amando este 
producto 🔝🥰;BB Cream
matificante ✨;Hidrata 💧
SPF 30 🛡️;Unifica el tono ✅
Acabado mate 🔝;Controla brillo ✨
Minimiza poros ✅;Claro y mediano ✅",viam.alvarado,Viam Alvarado,606,298,12000,89,435,False,,,
