video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7514414940581645624,2025-06-10T20:07:56,19,EC,1106,543,28,72000,"Estoy probando unos de los labiales q gane en mi bonificación, es el tono burn nude supermate lips de CyZone ideal para todo tono de piel ✨ #ibeesikalbelcyzone #burnnude #labialesmatte #labiosresecos #labialesecuador ",False,"Tono burn nude supermate lips
💖CyZone",ibecyzoneesikalbel,Ibe,4539,3036,56500,345,24600,False,,,
7569046441218297099,2025-11-05T01:26:04,28,GT,2931,508,50,135000,Amamos @Cyzone #beautyvlogger #cyzone #labialnude #esikalbelcyzone #studiolookcyzone ,False,"Cliente :quiero un labial
Ni tan rosa ni tan naranja ;Yó: no se diga mas 😌👌;Tono 
Burn Nude 
STUDIO look
CYZONE ",sucellyreyes_blog,SucellyR-blog,9928,614,206200,361,31000,False,,,
7363481930035170565,2024-04-30T02:30:40,9,CO,34200,3796,302,2300000,"¿Un labial con acabado mate e hidratación extrema? 💦 Labial Supermate Lips de Studio Look 💕 acabado mate, larga duración, máxima fijación, hidratación extrema y alta precisión ✍️✨ #cyzone #labial #labialviral #labialnude #llevolabial #labiales #labiosgrandes #labios #labiosbonitos #labiosperfectos #labioschallenge #labiosdemuñeca #labiosperfectos #catalogo #labialmarron #lipstick #lip #maquillajedelabios #labioshidratados #hidratacion ",False,Amarás este tono 😍;Acabado súper mate ✨;Larga duración ⏳;Máxima fijación 💕;Hidratación extrema 💦;Alta precisión ✍️;Labial Supermate Lips;Tono Burn Nude 🤎;Labial Supermate Lips: Tono Burn Nude 🤎✨,cyzone_oficial,Cyzone,2200000,84,34100000,2108,5986,True,,,
7323023543996927237,2024-01-12T01:51:29,30,EC,402,201,8,40500,💋LABIAL EN BARRA STUDIO LOOK CYZONE 💋 💋TONO: BURN NUDE 💋 ✨️Ideal para estas fechas especiales y lucir unos labios sexys ✨️Labial en barra supermate hidratante por 24 horas ✨️Larga duración ✨️Máxima fijación ✨️Hidratación extrema ✨️Alta precisión 🚚Hacemos envíos a todo el Ecuador 🏍Envío mediante motorizado en Machala 🏠Retiro en domicilio Machala #cyzone #burnnude #studiolook #labialenbarra #labial #labios #cosmeticos #maquillaje #makeup #belleza #machala #eloro #ecuador #quito #gye,False,,kacosmetics_ec,🌺 K.A COSMETICS 🌺,1936,176,33000,486,2937,False,,,
