video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7464619312326642949,2025-01-27T15:35:24,13,EC,101,80,1,16100,#cemaparamano #cremaperfumada #belcorp #lbel #rutinaencasa #cosmeticos #,False,,esikalebelcyzone25,BELCORP MANABÍ 🇪🇨💅💋,1815,27,23700,279,515,False,,,
7281432190309764357,2023-09-21T23:55:48,14,PE,75,13,13,13100,"chakalita, no pagues S/.119 por el Set Liasson de L'bel, mejor aprovecha y llévate esta promoción por solo S/.49.90✨️🔥. #chakalito #chakalitos #parati #lbel #liason #belcorp #esikalbelcyzone #naturmaya ",False,"no pagues;Chakalita, ;S/.119;por el ;Set Liasson;Chakalita, no pagues
119 soles, por el set Liasson de Lbel, mejor aprovecha y llévate a sólo cuarenta y nueve noventa ;@naturmaya.pe;Set Liasson;S/.49.90;que esperas que, no corres por la promoción? ",naturmaya.pe,NATURMAYA😎,18300,13,104600,346,889,False,,,
