video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7441369268198968631,2024-11-25T23:53:28,137,PE,124,8,8,10400,Calidad y precio 💯%recomendado para mayor información aquí: @CATA_perfumeria ,False,,victor_ramos.z,✌️𝗩𝗶𝗰𝘁𝗼𝗿 𝗥𝗮𝗺𝗼𝘀🤠,16100,261,235200,346,1846,False,,,
7597803437329272076,2026-01-21T13:17:50,17,VE,169,31,18,12200,Perfumes#avon#300km #wildcountry #patiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii💞 ,False,,ventasporcatalogo.bqto,Ventasporcatalogo.bqto,3554,815,27700,95,398,False,,,
7554605846802582802,2025-09-27T03:29:05,33,PE,164,63,6,9598,Colección completa :) #wildcountry #perfumeriaavon ,False,"Siente la emoción de la aventura con los Wild Country de Avon, perfumes que te hacen sentir libre",lovely.store.2024,Lovely.store.2024,23500,1583,158600,470,11400,False,,,
7532168207361199416,2025-07-28T16:19:37,50,PE,438,134,21,30400,Los #wildcountry  de #avon están dando la hora!!!! #avonperfume #avonperu #naturaperu ,False,,lovely.store.2024,Lovely.store.2024,23500,1583,158600,470,11400,False,,,
