video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7230953648828714246,2023-05-08T23:13:17,15,PE,4502,8100,77,258500,¡Osadía un perfume inspirado en el encantó de las mujeres de latinoamerica! ❤️ #yanbal #andreaavendaño #perfumes #fraganciasfemeninas #consultorayanbal #osadia #autocuidado #regalos #haul #review #perfumesfavoritos #yanbalperu #andahuaylas ,False,,andreaavendano.q,Andrea Avendaño 🍒,16600,8,563900,1109,1713,False,,,
7292566358955527430,2023-10-22T00:02:03,19,PE,1366,2870,34,105500,Osadia Clasico de Yanbal 🥰 Ya lo probaron?? 🙈 #perfumeyanbal #osadiaclasicoyanbal #osadiayanbal #yanbalperu #regalos #perfumespararegalar ,False,"Osadía Clasico
Femenino;@luangstore;✨ Aroma frutal floral ✨;Destellos frutales de granada, la magia y vitalidad de la flor de maracuyá y toques picantes de jengibre;Un aroma exótico e impactante que describe el espíritu cautivador de una mujer latina.",luangstore,Luang ♡,65700,3,269500,765,1430,False,,,
