video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7517288475524074760,2025-06-18T13:58:36,28,MX,438,214,16,26300,#yanbal #caramelnude #Hydra-Lip #liquido #mate #mexico #consultoras #incorporación @Yanbal ,False,"🧡YANBAL🧡
TONO: CARAMEL NUDE;subtono rosa",chaparrita06059,Diana Núñez,3635,760,91100,605,6029,False,,,
7589438666708176149,2025-12-30T00:18:27,37,MX,2697,226,23,77100,Labial caramel nude de @Yanbal  🧡✨📷 es perfecto 👌🏼 #caramelnude #yanbal #lajudi #labial #labialnude con acabado mate ,False,Labial YANBAL ;Lbel Esika cyzone ,judithlopo,🌸𝕃𝕒 𝕁𝕦𝕕𝕚𝕚🫶🏻💄🐄,39000,2790,1400000,2377,51600,False,,,
7517484951520972050,2025-06-19T02:41:05,33,MX,1355,247,33,51100,Una experiencia ✨👌🏼 #yanbalera 🧡 @Yanbal  #hydralip #yanbal #labialnude @Lu Montalvo🌿 labial bonito 🤩 #lajudi,False,"Un labial NUDE QUE NO PUEDE FALTAR ;Tono  
Caramel NUDE ;HYDRA LIP ;Son mate 
No transfieren ;Son de YANBAL ",judithlopo,🌸𝕃𝕒 𝕁𝕦𝕕𝕚𝕚🫶🏻💄🐄,39000,2790,1400000,2377,51600,False,,,
