video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7492204979512511750,2025-04-11T23:41:57,28,AR,899,581,32,40000,El producto que no te puede faltar este Invierno... #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii  #Ekos #EkosCacau #EkosNatura #LabiosResecos #HidratanteLabial #Natura #Argentina,False,,lujan.floriani,Lujan Floriani,1409,427,30300,105,9841,False,,,
7498761810481335557,2025-04-29T15:45:44,16,PE,438,152,16,39900,Solicita el tuyo aquí 👇🏻 WSP 912 892 441 ✅ Envíos a nivel nacional 🇵🇪 #natura #balsamosdelabios #labiosbonitos #labiosperfectos #balsamo #naturaekos #fyp #parati #labiales ,False,labios bonitos y suaves;BÁLSAMO LABIAL CACAO;@elianuyperu;¿Labios resecos y agrietados?;Natura te ofrece Este bálsamo labial brinda  hidratación profunda dejando tus labios suaves y protegidos hasta 48 horas.;Su fórmula enriquecida con ingredientes naturales ayuda a prevenir la sequedad ,elianuyperu,ELIANUY PERÚ 🎀,111600,40,852700,472,1141,False,,,
7504373473008160006,2025-05-14T18:41:51,21,AR,26,48,2,3093,"💋 ¿Labios secos? ¡Nunca más! Descubrí el poder de la manteca pura de cacao con el Bálsamo Labial Ekos Cacao, que hidrata por 48 horas, protege y estimula la producción de colágeno 💫 Ideal para usar todos los días y tener labios suaves, saludables y naturalmente hermosos.  #EkosCacao  💥 Hidratación real 💥 Colágeno activado 💥 Cacao puro del Amazonas ¿Y vos? ¿Todavía sufrís labios secos? 🌵 Probalo y vas a querer uno en cada bolso 💼💄 💬 Comentá “QUIERO” y te paso todos los detalles 💌 Hashtags: #BálsamoLabial #EkosCacao #LabiosHidratados #SkincareTips #RutinaDeBelleza #NaturaArgentina #TikTokMeLoHizoComprar #LipCareRoutine #CuidadoNatural #CacaoPower",False,,naturasilysol,Sil y Sol - CONSULTORAS NATURA,6148,78,87500,392,2788,False,Oscar and Juan Gálvez Car Racing Track,"Av. Coronel Roca 6902, Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires
7517312675974565126,2025-06-18T15:32:35,13,BR,45,10,3,2202,"O Protetor Labial Hidratante Ekos Cacau protege os lábios do vento, frio e calor.  Sua fórmula com manteiga bruta de cacau combate o ressecamento e estimula em até duas vezes a produção de colágeno. E nesse friozinho ele tem me ajudado bastante! E você como tem cuidados dos lábios por aí?  #chamamulti  #cbt  #protetorlabialekoscacau ",False,,kariamarques,Kária Marques,6280,201,195300,137,935,False,,,
